claim_id,vehicle_id,driver_id,trip_id,accident_timestamp,accident_location,weather_condition,road_condition,collision_type,damaged_component,severity,estimated_repair_cost,claim_amount,fraud_flag,claim_status
C00960,V0063,D0118,T08575,2025-10-07T07:04:00,Alappuzha,Cloudy,Dry,Side,Door,Moderate,49220,47240,No,Under Review
C00961,V0466,D0606,T07681,2025-07-09T16:59:00,Alappuzha,Fog,Dry,Side,Rear Bumper,Moderate,34685,30426,Yes,Approved
C00962,V0143,D0415,T02504,2025-09-19T12:53:00,Kochi,Heavy Rain,Dry,Side,Windshield,Moderate,35174,28471,No,Approved
C00963,V0119,D0481,T00518,2025-07-05T12:40:00,Alappuzha,Sunny,Wet,Side,Headlight,Major,232263,215687,No,Approved
C00964,V0209,D0682,T01151,2025-11-21T08:29:00,Palakkad,Fog,Wet,Head-on,Door,Moderate,171174,161116,No,Rejected
C00965,V0274,D0108,T05140,2025-07-19T16:41:00,Alappuzha,Sunny,Dry,Single Vehicle,Front Bumper,Major,113130,107786,No,Approved
C00966,V0377,D0520,T06376,2025-12-29T13:33:00,Kozhikode,Rain,Dry,Rear-end,Rear Bumper,Major,197553,163392,No,Approved
C00967,V0450,D0113,T01894,2025-08-12T22:25:00,Kozhikode,Sunny,Dry,Head-on,Engine Bay,Moderate,202228,194062,Yes,Under Review
C00968,V0425,D0675,T00876,2025-09-03T15:37:00,Kollam,Rain,Dry,Head-on,Headlight,Minor,96623,86947,No,Under Review
C00969,V0028,D0078,T01197,2025-11-07T15:28:00,Palakkad,Cloudy,Wet,Rear-end,Rear Bumper,Moderate,74458,64442,No,Approved
C00970,V0425,D0488,T04250,2025-09-29T23:48:00,Kochi,Heavy Rain,Slippery,Rear-end,Engine Bay,Minor,73196,69862,No,Under Review
C00971,V0210,D0094,T05593,2025-11-14T22:27:00,Palakkad,Sunny,Slippery,Single Vehicle,Front Bumper,Major,239585,212365,No,Rejected
C00972,V0276,D0456,T00275,2025-09-19T13:06:00,Kollam,Heavy Rain,Dry,Head-on,Front Bumper,Minor,80454,69782,No,Under Review
C00973,V0268,D0644,T08386,2025-11-01T18:19:00,Thrissur,Cloudy,Slippery,Rear-end,Front Bumper,Moderate,169779,138541,No,Under Review
C00974,V0068,D0597,T02855,2025-05-02T12:12:00,Kochi,Cloudy,Wet,Head-on,Front Bumper,Moderate,206166,192762,Yes,Rejected
C00975,V0006,D0384,T09254,2025-05-13T13:59:00,Palakkad,Cloudy,Dry,Side,Engine Bay,Major,19486,18293,No,Rejected
C00976,V0240,D0010,T05827,2025-01-14T08:49:00,Thrissur,Cloudy,Wet,Head-on,Headlight,Moderate,226127,207297,No,Under Review
C00977,V0312,D0063,T05740,2025-11-13T14:16:00,Thrissur,Fog,Dry,Rear-end,Rear Bumper,Moderate,31006,26768,No,Under Review
C00978,V0073,D0006,T06430,2025-01-25T21:21:00,Palakkad,Sunny,Wet,Head-on,Front Bumper,Moderate,238894,228249,No,Under Review
C00979,V0387,D0026,T06139,2025-09-21T01:37:00,Kollam,Fog,Wet,Rear-end,Rear Bumper,Moderate,46775,46177,Yes,Approved
C00980,V0442,D0064,T03578,2025-08-11T01:59:00,Kollam,Cloudy,Slippery,Rear-end,Rear Bumper,Minor,207810,180923,No,Approved
C00981,V0115,D0290,T01439,2025-08-16T01:10:00,Alappuzha,Rain,Wet,Head-on,Windshield,Moderate,13573,12919,No,Approved
C00982,V0250,D0530,T00976,2025-06-20T19:35:00,Palakkad,Sunny,Wet,Single Vehicle,Door,Major,38951,33217,No,Rejected
C00983,V0372,D0674,T03240,2025-07-09T21:25:00,Alappuzha,Fog,Dry,Side,Front Bumper,Moderate,109763,94490,No,Rejected
C00984,V0017,D0536,T09211,2025-09-11T20:24:00,Kollam,Fog,Dry,Rear-end,Headlight,Minor,179075,159101,No,Under Review
C00985,V0265,D0561,T06853,2025-11-05T07:49:00,Kochi,Rain,Slippery,Single Vehicle,Front Bumper,Moderate,38259,35566,Yes,Under Review
C00986,V0330,D0032,T04922,2025-09-07T03:35:00,Kollam,Fog,Wet,Head-on,Rear Bumper,Moderate,70168,68141,No,Rejected
C00987,V0378,D0460,T02676,2025-11-26T06:00:00,Kozhikode,Sunny,Slippery,Single Vehicle,Door,Moderate,186515,167403,Yes,Rejected
C00988,V0074,D0517,T09994,2025-05-14T17:56:00,Palakkad,Cloudy,Dry,Head-on,Rear Bumper,Minor,224805,204181,No,Under Review
C00989,V0433,D0582,T06736,2025-06-12T12:52:00,Thrissur,Cloudy,Slippery,Single Vehicle,Front Bumper,Minor,240702,230689,No,Under Review
C00990,V0130,D0601,T07208,2025-03-04T13:46:00,Thrissur,Sunny,Slippery,Side,Rear Bumper,Minor,15888,14315,No,Approved
C00991,V0188,D0571,T01526,2025-10-28T03:56:00,Alappuzha,Cloudy,Dry,Single Vehicle,Headlight,Minor,31556,29417,No,Rejected
C00992,V0345,D0254,T01172,2025-11-07T17:14:00,Thrissur,Cloudy,Slippery,Single Vehicle,Windshield,Moderate,197379,187444,No,Approved
C00993,V0272,D0415,T02083,2025-11-25T22:03:00,Thrissur,Sunny,Slippery,Side,Engine Bay,Minor,57636,48787,No,Approved
C00994,V0098,D0575,T01928,2025-08-22T15:33:00,Kochi,Sunny,Dry,Head-on,Headlight,Moderate,204574,202026,No,Under Review
C00995,V0460,D0413,T01735,2025-11-05T16:36:00,Alappuzha,Rain,Slippery,Side,Windshield,Major,198651,186828,No,Rejected
C00996,V0181,D0222,T02594,2025-01-20T20:53:00,Alappuzha,Cloudy,Slippery,Side,Rear Bumper,Major,143355,130089,Yes,Rejected
C00997,V0245,D0267,T05036,2025-12-16T23:50:00,Palakkad,Cloudy,Wet,Side,Headlight,Moderate,76887,64892,No,Under Review
C00998,V0039,D0276,T05089,2025-02-28T16:58:00,Kollam,Heavy Rain,Slippery,Head-on,Windshield,Minor,155436,132600,No,Rejected
C00999,V0386,D0237,T00858,2025-04-02T19:29:00,Thrissur,Cloudy,Slippery,Head-on,Engine Bay,Major,93453,91310,No,Approved
C01000,V0143,D0165,T07735,2025-07-17T10:29:00,Kochi,Cloudy,Wet,Single Vehicle,Rear Bumper,Minor,167573,137413,No,Approved
C01001,V0172,D0241,T00363,2025-02-06T17:04:00,Kochi,Fog,Slippery,Side,Windshield,Minor,206616,174072,No,Rejected
C01002,V0299,D0413,T05147,2025-10-24T09:50:00,Alappuzha,Cloudy,Slippery,Rear-end,Front Bumper,Major,216773,200666,No,Rejected
C01003,V0211,D0491,T06569,2025-07-22T17:51:00,Thrissur,Rain,Wet,Side,Front Bumper,Moderate,22589,22283,No,Under Review
C01004,V0117,D0411,T07443,2025-09-01T20:09:00,Kochi,Cloudy,Slippery,Head-on,Front Bumper,Minor,167903,158357,Yes,Rejected
C01005,V0353,D0294,T09639,2025-05-08T20:13:00,Kochi,Sunny,Wet,Rear-end,Headlight,Major,149583,146902,No,Under Review
C01006,V0472,D0685,T01834,2025-11-21T08:48:00,Kollam,Sunny,Wet,Rear-end,Front Bumper,Moderate,228282,217234,No,Under Review
C01007,V0253,D0109,T02772,2025-07-09T05:39:00,Kollam,Rain,Dry,Single Vehicle,Rear Bumper,Minor,222907,198237,No,Rejected
C01008,V0263,D0202,T07526,2025-01-04T09:18:00,Alappuzha,Fog,Dry,Side,Windshield,Moderate,89275,82952,No,Approved
C01009,V0473,D0516,T05155,2025-05-31T08:32:00,Kochi,Fog,Dry,Side,Windshield,Major,165778,139763,No,Rejected
C01010,V0132,D0020,T00665,2025-11-03T04:20:00,Thrissur,Fog,Wet,Single Vehicle,Windshield,Major,60636,58703,No,Under Review
C01011,V0167,D0173,T03171,2025-10-28T23:55:00,Alappuzha,Rain,Dry,Single Vehicle,Headlight,Major,149477,137876,Yes,Rejected
C01012,V0146,D0169,T02413,2025-11-12T06:36:00,Kollam,Heavy Rain,Dry,Head-on,Door,Moderate,234280,190563,No,Under Review
C01013,V0047,D0133,T08873,2025-09-23T13:17:00,Palakkad,Sunny,Dry,Rear-end,Rear Bumper,Moderate,48908,44575,No,Rejected
C01014,V0267,D0429,T01030,2025-05-26T09:48:00,Thrissur,Cloudy,Dry,Single Vehicle,Headlight,Minor,176075,163762,Yes,Under Review
C01015,V0023,D0533,T07448,2025-03-15T10:58:00,Kozhikode,Rain,Wet,Head-on,Headlight,Moderate,56531,52213,No,Approved
C01016,V0158,D0219,T02303,2025-04-03T08:06:00,Alappuzha,Rain,Slippery,Rear-end,Engine Bay,Moderate,241301,213011,Yes,Rejected
C01017,V0259,D0676,T02209,2025-11-01T10:01:00,Alappuzha,Rain,Wet,Rear-end,Engine Bay,Major,163528,155727,Yes,Approved
C01018,V0215,D0202,T07952,2025-04-01T22:21:00,Kozhikode,Heavy Rain,Slippery,Head-on,Front Bumper,Minor,157734,146489,Yes,Approved
C01019,V0142,D0294,T06692,2025-07-19T10:23:00,Kochi,Cloudy,Slippery,Side,Engine Bay,Minor,73853,67059,No,Under Review
C01020,V0035,D0307,T01634,2025-01-25T16:34:00,Kochi,Cloudy,Dry,Head-on,Door,Major,182856,175503,No,Under Review
C01021,V0310,D0664,T01507,2025-11-05T17:58:00,Kochi,Rain,Slippery,Side,Front Bumper,Major,85659,69585,No,Rejected
C01022,V0476,D0070,T00354,2025-04-04T09:05:00,Kozhikode,Rain,Wet,Rear-end,Door,Major,183862,166554,Yes,Approved
C01023,V0036,D0094,T08057,2025-06-29T19:30:00,Kochi,Fog,Wet,Single Vehicle,Windshield,Major,79697,74274,No,Approved
C01024,V0252,D0364,T02119,2025-09-26T01:49:00,Alappuzha,Sunny,Slippery,Side,Headlight,Moderate,136634,119736,No,Approved
C01025,V0315,D0675,T03745,2025-03-02T13:03:00,Palakkad,Fog,Dry,Head-on,Rear Bumper,Moderate,242119,222555,No,Approved
C01026,V0421,D0344,T00311,2025-10-22T14:56:00,Thrissur,Sunny,Slippery,Single Vehicle,Door,Minor,73594,72982,No,Under Review
C01027,V0345,D0183,T06718,2025-02-10T05:12:00,Kollam,Sunny,Slippery,Head-on,Rear Bumper,Minor,101032,100139,No,Approved
C01028,V0357,D0575,T05503,2025-06-05T20:03:00,Kochi,Fog,Dry,Single Vehicle,Windshield,Major,107705,99334,No,Approved
C01029,V0211,D0419,T07459,2025-07-17T13:42:00,Thrissur,Heavy Rain,Dry,Side,Engine Bay,Major,227777,201458,No,Approved
C01030,V0476,D0391,T01836,2025-04-17T21:52:00,Kozhikode,Sunny,Slippery,Side,Front Bumper,Moderate,72160,58064,No,Approved
C01031,V0497,D0617,T01487,2025-06-10T10:09:00,Palakkad,Sunny,Wet,Rear-end,Front Bumper,Moderate,177758,170676,No,Under Review
C01032,V0404,D0460,T08153,2025-11-19T00:11:00,Kollam,Fog,Wet,Side,Headlight,Moderate,185621,164210,Yes,Approved
C01033,V0122,D0043,T05216,2025-06-20T04:00:00,Kozhikode,Heavy Rain,Dry,Single Vehicle,Engine Bay,Major,18630,15811,No,Rejected
C01034,V0297,D0428,T03005,2025-03-16T04:44:00,Thrissur,Cloudy,Wet,Side,Windshield,Moderate,167939,139320,No,Under Review
C01035,V0335,D0190,T04587,2025-04-02T03:06:00,Thrissur,Fog,Wet,Side,Front Bumper,Minor,40690,33570,No,Approved
C01036,V0306,D0660,T04847,2025-12-05T20:28:00,Kollam,Fog,Wet,Single Vehicle,Headlight,Major,76621,75987,No,Rejected
C01037,V0216,D0590,T03363,2025-12-03T00:02:00,Thrissur,Rain,Slippery,Side,Rear Bumper,Minor,137041,120588,No,Under Review
C01038,V0090,D0519,T08940,2025-01-23T08:33:00,Thrissur,Heavy Rain,Slippery,Side,Front Bumper,Minor,90707,73982,No,Under Review
C01039,V0274,D0422,T00803,2025-10-21T15:27:00,Thrissur,Sunny,Slippery,Side,Headlight,Moderate,51969,50294,Yes,Under Review
C01040,V0414,D0319,T03581,2025-11-08T02:03:00,Thrissur,Sunny,Dry,Side,Door,Minor,116867,111308,Yes,Approved
C01041,V0102,D0007,T01676,2025-07-28T05:00:00,Kochi,Sunny,Wet,Single Vehicle,Rear Bumper,Minor,47899,45468,No,Rejected
C01042,V0117,D0018,T08398,2025-07-12T23:37:00,Palakkad,Rain,Wet,Single Vehicle,Engine Bay,Major,208621,204250,No,Rejected
C01043,V0199,D0534,T00337,2025-01-14T07:46:00,Kozhikode,Sunny,Dry,Side,Engine Bay,Moderate,202088,185393,No,Under Review
C01044,V0101,D0311,T02890,2025-08-06T15:01:00,Palakkad,Sunny,Slippery,Head-on,Headlight,Minor,209142,179884,Yes,Rejected
C01045,V0409,D0471,T09645,2025-02-17T08:50:00,Thrissur,Heavy Rain,Slippery,Head-on,Front Bumper,Moderate,214473,184724,No,Under Review
C01046,V0429,D0193,T09546,2025-11-11T08:36:00,Palakkad,Fog,Slippery,Head-on,Door,Major,213773,194338,No,Approved
C01047,V0318,D0083,T01170,2025-03-04T12:45:00,Alappuzha,Heavy Rain,Slippery,Side,Headlight,Major,36931,30227,No,Under Review
C01048,V0074,D0360,T02099,2025-12-17T08:44:00,Thrissur,Sunny,Slippery,Rear-end,Door,Major,102248,101180,No,Approved
C01049,V0430,D0226,T03580,2025-08-12T15:05:00,Kollam,Heavy Rain,Wet,Head-on,Engine Bay,Minor,11815,9661,No,Rejected
C01050,V0209,D0614,T03045,2025-04-13T23:05:00,Palakkad,Fog,Dry,Rear-end,Windshield,Moderate,24576,22563,No,Under Review
C01051,V0431,D0054,T05365,2025-10-22T21:51:00,Alappuzha,Fog,Dry,Side,Rear Bumper,Moderate,182141,181138,No,Rejected
C01052,V0472,D0307,T09627,2025-12-07T11:18:00,Kollam,Heavy Rain,Dry,Head-on,Engine Bay,Moderate,238248,191398,No,Rejected
C01053,V0205,D0305,T08909,2025-05-01T00:09:00,Kollam,Rain,Wet,Head-on,Headlight,Minor,161716,160768,No,Approved
C01054,V0206,D0012,T06192,2025-11-02T03:40:00,Kozhikode,Sunny,Wet,Rear-end,Rear Bumper,Major,96264,94986,Yes,Approved
C01055,V0173,D0355,T01195,2025-03-19T22:25:00,Kollam,Heavy Rain,Slippery,Rear-end,Door,Minor,218849,201710,No,Rejected
C01056,V0121,D0087,T00428,2025-07-10T00:56:00,Kozhikode,Heavy Rain,Wet,Head-on,Front Bumper,Major,24319,22078,Yes,Under Review
C01057,V0485,D0607,T04547,2025-12-02T21:06:00,Thrissur,Fog,Wet,Head-on,Engine Bay,Major,56833,46219,No,Approved
C01058,V0479,D0557,T06439,2025-02-23T09:04:00,Alappuzha,Heavy Rain,Slippery,Rear-end,Front Bumper,Minor,98798,81461,No,Rejected
C01059,V0055,D0202,T04730,2025-04-28T02:57:00,Palakkad,Fog,Slippery,Single Vehicle,Engine Bay,Moderate,58905,55699,No,Approved
C01060,V0494,D0535,T01934,2025-03-21T08:58:00,Kollam,Fog,Dry,Head-on,Windshield,Major,108552,91470,No,Under Review
C01061,V0442,D0334,T09282,2025-12-10T01:01:00,Thrissur,Sunny,Slippery,Side,Front Bumper,Moderate,153704,140203,Yes,Rejected
C01062,V0412,D0275,T02225,2025-04-21T10:03:00,Kochi,Cloudy,Slippery,Rear-end,Front Bumper,Major,50034,45126,No,Rejected
C01063,V0325,D0290,T00994,2025-07-17T19:36:00,Kozhikode,Heavy Rain,Slippery,Side,Rear Bumper,Major,154206,135470,No,Under Review
C01064,V0372,D0066,T05235,2025-09-22T08:10:00,Thrissur,Sunny,Wet,Single Vehicle,Windshield,Minor,207692,174227,No,Approved
C01065,V0138,D0668,T09912,2025-10-11T02:58:00,Thrissur,Rain,Slippery,Side,Headlight,Major,97221,84086,No,Rejected
C01066,V0241,D0246,T06959,2025-07-24T16:34:00,Palakkad,Cloudy,Wet,Head-on,Rear Bumper,Minor,100433,91072,Yes,Approved
C01067,V0208,D0552,T01488,2025-12-30T22:10:00,Kollam,Cloudy,Slippery,Head-on,Rear Bumper,Minor,210345,172305,Yes,Rejected
C01068,V0442,D0361,T09050,2025-11-02T00:45:00,Kochi,Heavy Rain,Slippery,Single Vehicle,Rear Bumper,Major,31262,29039,No,Under Review
C01069,V0368,D0423,T07375,2025-02-03T02:53:00,Palakkad,Sunny,Dry,Single Vehicle,Engine Bay,Moderate,42948,41892,Yes,Approved
C01070,V0107,D0492,T05105,2025-11-05T06:21:00,Palakkad,Cloudy,Slippery,Side,Front Bumper,Moderate,32402,27754,No,Under Review
C01071,V0317,D0446,T09921,2025-01-07T11:51:00,Kozhikode,Heavy Rain,Slippery,Side,Headlight,Major,204591,179565,No,Rejected
C01072,V0211,D0310,T06138,2025-01-01T13:47:00,Kollam,Sunny,Dry,Single Vehicle,Door,Major,114052,103660,Yes,Approved
C01073,V0434,D0585,T05852,2025-02-13T13:10:00,Kochi,Fog,Wet,Head-on,Windshield,Major,152761,132744,No,Under Review
C01074,V0301,D0307,T06243,2025-12-11T03:12:00,Kollam,Sunny,Wet,Head-on,Engine Bay,Minor,24364,24047,No,Rejected
C01075,V0250,D0530,T09795,2025-12-23T16:56:00,Palakkad,Sunny,Dry,Head-on,Front Bumper,Moderate,91351,78849,No,Approved
C01076,V0106,D0463,T00782,2025-12-02T07:47:00,Palakkad,Fog,Wet,Single Vehicle,Headlight,Moderate,166072,165551,No,Approved
C01077,V0308,D0322,T09949,2025-04-01T01:14:00,Kochi,Fog,Wet,Rear-end,Rear Bumper,Major,65712,63388,No,Rejected
C01078,V0341,D0344,T09282,2025-11-05T16:15:00,Kochi,Cloudy,Slippery,Head-on,Door,Major,184958,164853,Yes,Approved
C01079,V0119,D0546,T00815,2025-08-11T14:47:00,Kozhikode,Sunny,Dry,Head-on,Front Bumper,Major,143480,115156,Yes,Under Review
C01080,V0301,D0623,T06080,2025-03-09T00:38:00,Kollam,Sunny,Wet,Single Vehicle,Windshield,Moderate,117555,109683,No,Approved
C01081,V0142,D0452,T08348,2025-10-15T08:00:00,Kochi,Fog,Slippery,Side,Engine Bay,Major,173335,171395,No,Under Review
C01082,V0164,D0597,T00484,2025-12-11T09:16:00,Kollam,Cloudy,Dry,Head-on,Front Bumper,Moderate,55930,48848,Yes,Under Review
C01083,V0169,D0145,T03709,2025-12-07T22:03:00,Palakkad,Rain,Wet,Single Vehicle,Windshield,Moderate,202182,196293,No,Rejected
C01084,V0308,D0089,T07063,2025-09-01T15:56:00,Kochi,Heavy Rain,Slippery,Single Vehicle,Engine Bay,Minor,24153,20808,Yes,Rejected
C01085,V0273,D0488,T02280,2025-06-06T12:48:00,Alappuzha,Rain,Wet,Head-on,Engine Bay,Major,132725,117741,No,Approved
C01086,V0397,D0650,T00431,2025-08-28T21:23:00,Palakkad,Heavy Rain,Dry,Rear-end,Rear Bumper,Moderate,177161,173734,No,Under Review
C01087,V0228,D0481,T09913,2025-07-05T03:51:00,Kozhikode,Rain,Dry,Side,Windshield,Minor,63968,57426,No,Under Review
C01088,V0044,D0041,T08855,2025-01-25T10:07:00,Kochi,Rain,Slippery,Single Vehicle,Door,Moderate,163133,143682,No,Under Review
C01089,V0303,D0226,T09500,2025-07-23T06:04:00,Alappuzha,Rain,Dry,Single Vehicle,Engine Bay,Major,180113,153431,No,Under Review
C01090,V0350,D0464,T08670,2025-09-05T03:59:00,Alappuzha,Sunny,Dry,Rear-end,Windshield,Minor,87069,73672,No,Rejected
C01091,V0415,D0412,T09354,2025-09-03T07:06:00,Palakkad,Fog,Slippery,Head-on,Windshield,Major,51746,44535,No,Rejected
C01092,V0410,D0575,T07066,2025-10-18T09:39:00,Kozhikode,Fog,Wet,Rear-end,Engine Bay,Moderate,233888,208676,Yes,Approved
C01093,V0369,D0324,T01585,2025-07-07T10:00:00,Kollam,Heavy Rain,Wet,Head-on,Headlight,Minor,155761,132985,Yes,Approved
C01094,V0320,D0169,T00116,2025-08-29T19:32:00,Kollam,Cloudy,Slippery,Side,Front Bumper,Moderate,161185,133004,Yes,Rejected
C01095,V0047,D0700,T04461,2025-11-25T03:26:00,Thrissur,Sunny,Dry,Head-on,Front Bumper,Moderate,189366,164620,No,Under Review
C01096,V0485,D0171,T02819,2025-10-17T08:04:00,Alappuzha,Rain,Wet,Side,Door,Major,231351,216014,No,Rejected
C01097,V0145,D0074,T04140,2025-11-26T06:58:00,Kollam,Fog,Dry,Rear-end,Rear Bumper,Minor,181089,168301,Yes,Approved
C01098,V0211,D0332,T06331,2025-03-19T15:40:00,Alappuzha,Sunny,Wet,Rear-end,Engine Bay,Major,243780,216875,No,Approved
C01099,V0007,D0376,T09929,2025-10-05T05:07:00,Alappuzha,Fog,Wet,Head-on,Headlight,Major,188795,186021,No,Rejected
C01100,V0271,D0517,T04320,2025-06-30T09:10:00,Thrissur,Fog,Wet,Side,Rear Bumper,Moderate,44510,43560,No,Rejected
C01101,V0297,D0361,T05477,2025-06-08T07:02:00,Alappuzha,Cloudy,Dry,Single Vehicle,Headlight,Major,170275,153824,No,Rejected
C01102,V0175,D0122,T00731,2025-10-11T23:52:00,Kollam,Cloudy,Dry,Rear-end,Door,Major,20829,18863,No,Approved
C01103,V0243,D0023,T02019,2025-08-08T19:52:00,Thrissur,Cloudy,Slippery,Side,Front Bumper,Minor,90111,88867,Yes,Under Review
C01104,V0021,D0360,T03789,2025-05-30T04:48:00,Kollam,Rain,Wet,Single Vehicle,Front Bumper,Minor,228342,196247,No,Approved
C01105,V0437,D0498,T02640,2025-04-04T08:24:00,Thrissur,Sunny,Dry,Side,Windshield,Moderate,228530,186990,No,Under Review
C01106,V0146,D0348,T07967,2025-02-11T00:37:00,Thrissur,Heavy Rain,Slippery,Head-on,Front Bumper,Moderate,211430,199095,No,Approved
C01107,V0104,D0327,T04592,2025-07-18T22:14:00,Kollam,Heavy Rain,Wet,Side,Headlight,Moderate,39036,32344,No,Under Review
C01108,V0130,D0140,T08019,2025-03-16T11:40:00,Kozhikode,Cloudy,Dry,Single Vehicle,Headlight,Minor,34427,31138,No,Approved
C01109,V0342,D0469,T08157,2025-01-15T19:11:00,Kochi,Cloudy,Slippery,Rear-end,Headlight,Major,126041,115011,Yes,Rejected
C01110,V0040,D0030,T05163,2025-09-21T11:34:00,Palakkad,Rain,Slippery,Head-on,Engine Bay,Moderate,49076,46550,No,Rejected
C01111,V0370,D0493,T06365,2025-12-30T06:58:00,Thrissur,Cloudy,Dry,Head-on,Headlight,Major,240861,194000,No,Approved
C01112,V0262,D0273,T04895,2025-12-20T18:20:00,Thrissur,Rain,Wet,Head-on,Windshield,Moderate,27155,25421,No,Under Review
C01113,V0419,D0198,T02194,2025-12-29T10:17:00,Kollam,Sunny,Slippery,Head-on,Front Bumper,Minor,69367,63181,No,Rejected
C01114,V0279,D0350,T00703,2025-02-11T17:24:00,Palakkad,Fog,Wet,Head-on,Headlight,Minor,68135,60839,No,Approved
C01115,V0342,D0516,T05198,2025-03-25T04:47:00,Alappuzha,Sunny,Wet,Single Vehicle,Front Bumper,Major,57285,48161,No,Rejected
C01116,V0346,D0268,T04415,2025-07-09T22:18:00,Kochi,Heavy Rain,Dry,Single Vehicle,Front Bumper,Moderate,17011,14782,No,Under Review
C01117,V0374,D0580,T07002,2025-07-25T21:06:00,Palakkad,Fog,Slippery,Single Vehicle,Rear Bumper,Moderate,37420,31421,No,Approved
C01118,V0445,D0573,T02675,2025-11-17T07:01:00,Kozhikode,Cloudy,Slippery,Side,Windshield,Moderate,238657,234266,No,Under Review
C01119,V0207,D0210,T00526,2025-12-26T22:17:00,Kochi,Sunny,Slippery,Single Vehicle,Front Bumper,Major,23874,22768,Yes,Approved
C01120,V0160,D0295,T04229,2025-06-23T08:42:00,Kollam,Fog,Dry,Side,Headlight,Major,99740,82825,No,Under Review
C01121,V0334,D0610,T07308,2025-08-01T02:18:00,Thrissur,Fog,Dry,Single Vehicle,Headlight,Moderate,227933,193774,No,Approved
C01122,V0190,D0139,T04990,2025-02-23T01:15:00,Kochi,Rain,Dry,Single Vehicle,Headlight,Minor,165972,164976,No,Approved
C01123,V0009,D0493,T07805,2025-12-03T00:52:00,Kozhikode,Fog,Dry,Rear-end,Engine Bay,Moderate,38041,33217,No,Rejected
C01124,V0340,D0033,T09687,2025-10-06T23:22:00,Kozhikode,Fog,Slippery,Side,Headlight,Moderate,80005,71925,No,Approved
C01125,V0469,D0628,T07884,2025-08-22T06:20:00,Kollam,Sunny,Dry,Side,Door,Moderate,229207,212445,No,Under Review
C01126,V0202,D0639,T05174,2025-09-16T12:57:00,Alappuzha,Cloudy,Dry,Head-on,Front Bumper,Major,197213,194005,No,Approved
C01127,V0154,D0179,T00555,2025-04-03T05:10:00,Alappuzha,Cloudy,Wet,Single Vehicle,Front Bumper,Major,246532,239049,No,Under Review
C01128,V0295,D0370,T05225,2025-08-13T09:53:00,Kozhikode,Fog,Dry,Single Vehicle,Door,Major,159033,155825,No,Approved
C01129,V0348,D0404,T02251,2025-06-21T17:00:00,Alappuzha,Heavy Rain,Wet,Side,Headlight,Major,46396,39006,No,Under Review
C01130,V0165,D0600,T02582,2025-03-10T17:42:00,Kochi,Sunny,Wet,Single Vehicle,Windshield,Moderate,140527,123975,Yes,Rejected
C01131,V0233,D0219,T02692,2025-09-04T19:10:00,Kochi,Sunny,Slippery,Head-on,Windshield,Moderate,68207,56500,No,Rejected
C01132,V0302,D0475,T01993,2025-10-04T21:30:00,Palakkad,Fog,Slippery,Rear-end,Windshield,Major,128386,106711,No,Approved
C01133,V0120,D0152,T06434,2025-04-06T15:44:00,Alappuzha,Fog,Wet,Single Vehicle,Headlight,Major,120130,106640,No,Under Review
C01134,V0254,D0416,T02001,2025-12-20T03:32:00,Kochi,Heavy Rain,Slippery,Side,Windshield,Minor,153839,147733,No,Approved
C01135,V0463,D0366,T07403,2025-02-23T09:20:00,Kollam,Heavy Rain,Slippery,Side,Rear Bumper,Minor,129590,126386,Yes,Rejected
C01136,V0172,D0115,T00501,2025-10-26T15:58:00,Palakkad,Rain,Dry,Single Vehicle,Door,Major,41281,35068,Yes,Rejected
C01137,V0412,D0297,T08670,2025-12-22T03:35:00,Palakkad,Heavy Rain,Wet,Single Vehicle,Rear Bumper,Minor,74576,61149,No,Approved
C01138,V0394,D0611,T06868,2025-10-02T23:33:00,Kozhikode,Rain,Wet,Side,Engine Bay,Major,45056,42169,Yes,Under Review
C01139,V0100,D0219,T02820,2025-01-22T16:27:00,Palakkad,Fog,Wet,Rear-end,Windshield,Moderate,112332,97946,No,Approved
C01140,V0333,D0520,T08976,2025-10-04T13:39:00,Alappuzha,Sunny,Dry,Single Vehicle,Rear Bumper,Major,41699,34748,Yes,Under Review
C01141,V0050,D0119,T01883,2025-02-08T13:56:00,Kochi,Fog,Slippery,Side,Rear Bumper,Minor,12940,11164,Yes,Approved
C01142,V0396,D0567,T07339,2025-06-28T07:05:00,Kozhikode,Cloudy,Slippery,Head-on,Windshield,Moderate,207400,170706,No,Approved
C01143,V0358,D0201,T05169,2025-04-12T15:19:00,Thrissur,Cloudy,Slippery,Head-on,Front Bumper,Major,224000,204115,No,Under Review
C01144,V0460,D0274,T07990,2025-10-29T16:40:00,Kollam,Cloudy,Dry,Rear-end,Door,Major,247670,234132,No,Approved
C01145,V0408,D0379,T01535,2025-06-16T22:47:00,Thrissur,Sunny,Wet,Rear-end,Headlight,Major,190424,179974,No,Rejected
C01146,V0469,D0497,T05199,2025-09-13T11:15:00,Kollam,Sunny,Wet,Rear-end,Rear Bumper,Moderate,218783,208115,Yes,Approved
C01147,V0297,D0229,T08626,2025-10-07T17:54:00,Thrissur,Sunny,Wet,Rear-end,Engine Bay,Moderate,49200,46154,No,Under Review
C01148,V0498,D0031,T01424,2025-06-29T22:38:00,Palakkad,Rain,Wet,Head-on,Windshield,Moderate,58358,53618,No,Under Review
C01149,V0312,D0585,T09018,2025-10-18T06:40:00,Kollam,Heavy Rain,Dry,Side,Headlight,Major,66516,60695,Yes,Rejected
